date_name,local_team,local_result,visitor_result,visitor_team
Campeonato 1931,Atlanta,1,1,Velez
Campeonato 1931,Racing Club,1,1,Quilmes
Campeonato 1931,Quilmes,2,0,Racing Club
Campeonato 1931,Huracan,2,4,Racing Club
Campeonato 1931,Boca Juniors,5,2,Atlanta
Campeonato 1931,Independiente,1,4,Racing Club
Campeonato 1931,Racing Club,7,4,Independiente
Campeonato 1931,Atlanta,1,3,Boca Juniors
Campeonato 1931,Talleres (RdE),2,4,Huracan
Campeonato 1931,Atlanta,1,2,San Lorenzo
Campeonato 1931,Estudiantes (LP),8,0,Lanus
Campeonato 1931,San Lorenzo,5,3,Atlanta
Campeonato 1931,Ferro,1,2,Boca Juniors
Campeonato 1931,Boca Juniors,3,3,Ferro
Campeonato 1931,Huracan,0,1,Argentinos
Campeonato 1931,Quilmes,1,2,Boca Juniors
Campeonato 1931,Boca Juniors,5,1,Quilmes
Campeonato 1931,Lanus,2,3,Estudiantes (LP)
Campeonato 1931,Boca Juniors,4,2,Talleres (RdE)
Campeonato 1931,Lanus,1,0,Talleres (RdE)
Campeonato 1931,Racing Club,1,0,Huracan
Campeonato 1931,Talleres (RdE),1,2,Atlanta
Campeonato 1931,Racing Club,4,1,Gimnasia (LP)
Campeonato 1931,Velez,2,3,River Plate
Campeonato 1931,River Plate,5,1,Velez
Campeonato 1931,Gimnasia (LP),1,1,Racing Club
Campeonato 1931,Chacarita,4,3,Ferro
Campeonato 1931,Atlanta,1,0,Racing Club
Campeonato 1931,Talleres (RdE),3,2,Lanus
Campeonato 1931,River Plate,1,2,Quilmes
Campeonato 1931,Ferro,0,0,Chacarita
Campeonato 1931,Talleres (RdE),3,1,San Lorenzo
Campeonato 1931,Independiente,5,3,San Lorenzo
Campeonato 1931,Huracan,4,1,Talleres (RdE)
Campeonato 1931,San Lorenzo,1,1,Independiente
Campeonato 1931,San Lorenzo,0,4,Talleres (RdE)
Campeonato 1931,Velez,6,1,Atlanta
Campeonato 1931,Atlanta,0,1,River Plate
Campeonato 1931,Boca Juniors,2,1,Huracan
Campeonato 1931,Huracan,1,2,Boca Juniors
Campeonato 1931,Chacarita,0,0,Platense
Campeonato 1931,Argentinos,4,4,Quilmes
Campeonato 1931,Talleres (RdE),4,4,Estudiantes (LP)
Campeonato 1931,Estudiantes (LP),3,0,Talleres (RdE)
Campeonato 1931,Quilmes,0,1,Argentinos
Campeonato 1931,Platense,1,0,Velez
Campeonato 1931,Velez,2,1,Platense
Campeonato 1931,Ferro,2,5,Estudiantes (LP)
Campeonato 1931,San Lorenzo,3,0,Velez
Campeonato 1931,Estudiantes (LP),8,0,Ferro
Campeonato 1931,Platense,0,2,San Lorenzo
Campeonato 1931,Lanus,2,1,Quilmes
Campeonato 1931,Quilmes,4,1,Lanus
Campeonato 1931,Ferro,1,0,Quilmes
Campeonato 1931,Gimnasia (LP),3,4,Velez
Campeonato 1931,Velez,1,1,Gimnasia (LP)
Campeonato 1931,Racing Club,5,1,Platense
Campeonato 1931,Argentinos,4,2,Velez
Campeonato 1931,Velez,4,3,San Lorenzo
Campeonato 1931,Platense,1,2,Lanus
Campeonato 1931,Lanus,1,1,Platense
Campeonato 1931,Platense,0,1,Chacarita
Campeonato 1931,Argentinos,1,1,Huracan
Campeonato 1931,Boca Juniors,3,2,Tigre
Campeonato 1931,Talleres (RdE),0,2,Boca Juniors
Campeonato 1931,Estudiantes (LP),5,1,Argentinos
Campeonato 1931,Argentinos,1,0,Estudiantes (LP)
Campeonato 1931,Racing Club,4,1,Atlanta
Campeonato 1931,Quilmes,2,1,Ferro
Campeonato 1931,Tigre,1,2,Gimnasia (LP)
Campeonato 1931,Gimnasia (LP),3,0,Tigre
Campeonato 1931,Tigre,2,2,Boca Juniors
Campeonato 1931,Quilmes,0,4,Huracan
Campeonato 1931,Huracan,3,1,Quilmes
Campeonato 1931,Huracan,3,1,Tigre
Campeonato 1931,Tigre,2,0,Huracan
Campeonato 1931,Huracan,1,0,Platense
Campeonato 1931,Platense,3,1,Huracan
Campeonato 1931,San Lorenzo,3,0,Huracan
Campeonato 1931,Huracan,1,1,San Lorenzo
Campeonato 1931,Racing Club,3,1,Argentinos
Campeonato 1931,Argentinos,4,3,Racing Club
Campeonato 1931,Quilmes,1,0,River Plate
Campeonato 1931,Velez,1,1,Ferro
Campeonato 1931,Ferro,2,2,Velez
Campeonato 1931,Ferro,2,0,Argentinos
Campeonato 1931,Platense,3,0,Quilmes
Campeonato 1931,Quilmes,1,1,Platense
Campeonato 1931,Estudiantes (LP),3,0,Tigre
Campeonato 1931,San Lorenzo,4,2,Tigre
Campeonato 1931,Argentinos,3,1,Ferro
Campeonato 1931,Atlanta,1,5,Chacarita
Campeonato 1931,Gimnasia (LP),2,0,Talleres (RdE)
Campeonato 1931,Gimnasia (LP),1,1,Estudiantes (LP)
Campeonato 1931,Estudiantes (LP),2,3,Gimnasia (LP)
Campeonato 1931,Talleres (RdE),1,2,Gimnasia (LP)
Campeonato 1931,Argentinos,1,0,Tigre
Campeonato 1931,Tigre,0,0,Argentinos
Campeonato 1931,Lanus,1,2,Chacarita
Campeonato 1931,Tigre,3,2,San Lorenzo
Campeonato 1931,Boca Juniors,4,1,Platense
Campeonato 1931,Platense,3,5,Boca Juniors
Campeonato 1931,Velez,1,0,Argentinos
Campeonato 1931,Chacarita,1,3,Independiente
Campeonato 1931,River Plate,3,1,Huracan
Campeonato 1931,Huracan,1,1,River Plate
Campeonato 1931,Estudiantes (LP),5,2,Independiente
Campeonato 1931,Independiente,3,2,Estudiantes (LP)
Campeonato 1931,Quilmes,2,0,Tigre
Campeonato 1931,Chacarita,1,0,River Plate
Campeonato 1931,Tigre,4,1,Quilmes
Campeonato 1931,Independiente,4,1,Lanus
Campeonato 1931,Lanus,0,2,Independiente
Campeonato 1931,Lanus,1,3,Argentinos
Campeonato 1931,Argentinos,1,0,Lanus
Campeonato 1931,River Plate,2,3,Chacarita
Campeonato 1931,Tigre,1,0,Estudiantes (LP)
Campeonato 1931,Independiente,2,1,River Plate
Campeonato 1931,River Plate,1,0,Independiente
Campeonato 1931,Chacarita,1,0,Lanus
Campeonato 1931,Platense,0,1,Racing Club
Campeonato 1931,Chacarita,1,3,Atlanta
Campeonato 1931,Ferro,3,2,Atlanta
Campeonato 1931,Huracan,1,1,Gimnasia (LP)
Campeonato 1931,Gimnasia (LP),1,4,Quilmes
Campeonato 1931,Quilmes,6,0,Gimnasia (LP)
Campeonato 1931,Platense,2,1,River Plate
Campeonato 1931,Boca Juniors,1,1,River Plate
Campeonato 1931,River Plate,0,3,Boca Juniors
Campeonato 1931,San Lorenzo,4,3,Platense
Campeonato 1931,Gimnasia (LP),1,1,Huracan
Campeonato 1931,Atlanta,1,2,Lanus
Campeonato 1931,Velez,2,0,Quilmes
Campeonato 1931,Quilmes,2,3,Velez
Campeonato 1931,Independiente,1,0,Velez
Campeonato 1931,Platense,4,1,Gimnasia (LP)
Campeonato 1931,Gimnasia (LP),2,1,Platense
Campeonato 1931,Velez,2,3,Independiente
Campeonato 1931,Atlanta,2,4,Talleres (RdE)
Campeonato 1931,Lanus,2,1,Atlanta
Campeonato 1931,Velez,1,2,Boca Juniors
Campeonato 1931,River Plate,2,5,Platense
Campeonato 1931,Chacarita,3,2,Argentinos
Campeonato 1931,Gimnasia (LP),2,2,San Lorenzo
Campeonato 1931,Tigre,1,1,Atlanta
Campeonato 1931,Atlanta,2,2,Tigre
Campeonato 1931,Boca Juniors,4,2,Velez
Campeonato 1931,Argentinos,0,2,Chacarita
Campeonato 1931,Boca Juniors,0,0,Chacarita
Campeonato 1931,Chacarita,3,1,Boca Juniors
Campeonato 1931,San Lorenzo,4,1,Lanus
Campeonato 1931,Lanus,1,4,San Lorenzo
Campeonato 1931,Chacarita,1,3,Talleres (RdE)
Campeonato 1931,Talleres (RdE),1,5,Chacarita
Campeonato 1931,San Lorenzo,3,0,Gimnasia (LP)
Campeonato 1931,Gimnasia (LP),1,2,Chacarita
Campeonato 1931,Chacarita,1,0,Gimnasia (LP)
Campeonato 1931,Boca Juniors,5,0,Gimnasia (LP)
Campeonato 1931,Gimnasia (LP),3,2,Boca Juniors
Campeonato 1931,River Plate,1,0,Atlanta
Campeonato 1931,Atlanta,1,4,Ferro
Campeonato 1931,Ferro,4,3,Tigre
Campeonato 1931,Independiente,1,1,Chacarita
Campeonato 1931,Lanus,0,2,Velez
Campeonato 1931,Estudiantes (LP),4,1,Huracan
Campeonato 1931,Huracan,2,1,Estudiantes (LP)
Campeonato 1931,Boca Juniors,0,2,San Lorenzo
Campeonato 1931,San Lorenzo,0,0,Boca Juniors
Campeonato 1931,Chacarita,0,4,Racing Club
Campeonato 1931,Racing Club,3,2,Chacarita
Campeonato 1931,Platense,4,1,Ferro
Campeonato 1931,Lanus,0,1,River Plate
Campeonato 1931,Velez,0,0,Huracan
Campeonato 1931,Ferro,0,0,River Plate
Campeonato 1931,River Plate,2,0,Ferro
Campeonato 1931,Gimnasia (LP),1,3,Ferro
Campeonato 1931,Racing Club,5,0,San Lorenzo
Campeonato 1931,Ferro,0,0,Gimnasia (LP)
Campeonato 1931,Gimnasia (LP),0,0,Argentinos
Campeonato 1931,Atlanta,0,3,Platense
Campeonato 1931,Velez,3,3,Lanus
Campeonato 1931,Velez,2,1,Talleres (RdE)
Campeonato 1931,Lanus,3,2,Huracan
Campeonato 1931,Independiente,1,1,Quilmes
Campeonato 1931,Quilmes,1,2,Independiente
Campeonato 1931,Independiente,2,1,Ferro
Campeonato 1931,Racing Club,1,2,Boca Juniors
Campeonato 1931,Huracan,5,0,Atlanta
Campeonato 1931,Tigre,1,3,Ferro
Campeonato 1931,Gimnasia (LP),0,1,River Plate
Campeonato 1931,Atlanta,0,0,Huracan
Campeonato 1931,Atlanta,1,2,Argentinos
Campeonato 1931,Ferro,2,2,Platense
Campeonato 1931,Independiente,3,2,Tigre
Campeonato 1931,Tigre,1,4,Independiente
Campeonato 1931,Talleres (RdE),1,3,Velez
Campeonato 1931,River Plate,4,1,Gimnasia (LP)
Campeonato 1931,San Lorenzo,5,1,Racing Club
Campeonato 1931,San Lorenzo,5,2,Ferro
Campeonato 1931,Platense,3,0,Atlanta
Campeonato 1931,Velez,2,3,Chacarita
Campeonato 1931,River Plate,2,1,Estudiantes (LP)
Campeonato 1931,Racing Club,4,2,Lanus
Campeonato 1931,Talleres (RdE),0,2,Racing Club
Campeonato 1931,Quilmes,1,0,Atlanta
Campeonato 1931,Atlanta,0,1,Quilmes
Campeonato 1931,Racing Club,1,1,River Plate
Campeonato 1931,Chacarita,1,3,Velez
Campeonato 1931,Talleres (RdE),2,0,Quilmes
Campeonato 1931,Ferro,3,1,Talleres (RdE)
Campeonato 1931,Racing Club,2,0,Talleres (RdE)
Campeonato 1931,Estudiantes (LP),2,1,Velez
Campeonato 1931,Velez,3,3,Estudiantes (LP)
Campeonato 1931,Huracan,2,0,Lanus
Campeonato 1931,Quilmes,1,0,Talleres (RdE)
Campeonato 1931,River Plate,1,1,Racing Club
Campeonato 1931,Lanus,3,0,Racing Club
Campeonato 1931,Gimnasia (LP),3,5,Lanus
Campeonato 1931,Chacarita,3,1,Huracan
Campeonato 1931,Huracan,2,0,Chacarita
Campeonato 1931,Ferro,2,6,Huracan
Campeonato 1931,Tigre,3,3,Chacarita
Campeonato 1931,Argentinos,1,1,Gimnasia (LP)
Campeonato 1931,Chacarita,4,2,Tigre
Campeonato 1931,Huracan,1,0,Velez
Campeonato 1931,Talleres (RdE),1,3,River Plate
Campeonato 1931,Boca Juniors,1,1,Independiente
Campeonato 1931,Independiente,2,3,Boca Juniors
Campeonato 1931,River Plate,1,1,Talleres (RdE)
Campeonato 1931,San Lorenzo,5,2,Quilmes
Campeonato 1931,Estudiantes (LP),2,3,River Plate
Campeonato 1931,Ferro,1,4,San Lorenzo
Campeonato 1931,Lanus,1,2,Gimnasia (LP)
Campeonato 1931,Lanus,2,3,Ferro
Campeonato 1931,Tigre,2,0,Talleres (RdE)
Campeonato 1931,Ferro,3,0,Lanus
Campeonato 1931,Boca Juniors,0,1,Racing Club
Campeonato 1931,Argentinos,0,5,Boca Juniors
Campeonato 1931,Huracan,0,1,Ferro
Campeonato 1931,Independiente,6,1,Atlanta
Campeonato 1931,San Lorenzo,4,0,Argentinos
Campeonato 1931,Atlanta,0,1,Independiente
Campeonato 1931,Argentinos,3,0,Talleres (RdE)
Campeonato 1931,Platense,0,4,Estudiantes (LP)
Campeonato 1931,Platense,3,1,Tigre
Campeonato 1931,Gimnasia (LP),2,1,Independiente
Campeonato 1931,Talleres (RdE),2,1,Argentinos
Campeonato 1931,Boca Juniors,2,1,Argentinos
Campeonato 1931,San Lorenzo,3,1,Estudiantes (LP)
Campeonato 1931,Estudiantes (LP),1,0,San Lorenzo
Campeonato 1931,Talleres (RdE),2,1,Tigre
Campeonato 1931,Independiente,1,1,Gimnasia (LP)
Campeonato 1931,Estudiantes (LP),2,0,Platense
Campeonato 1931,Platense,2,1,Talleres (RdE)
Campeonato 1931,Talleres (RdE),1,0,Platense
Campeonato 1931,Independiente,3,2,Argentinos
Campeonato 1931,Argentinos,1,1,Independiente
Campeonato 1931,Racing Club,6,0,Velez
Campeonato 1931,Velez,2,3,Racing Club
Campeonato 1931,Tigre,1,0,Racing Club
Campeonato 1931,Racing Club,2,2,Tigre
Campeonato 1931,Gimnasia (LP),0,0,Atlanta
Campeonato 1931,Atlanta,0,0,Gimnasia (LP)
Campeonato 1931,Argentinos,0,1,Platense
Campeonato 1931,Platense,0,2,Argentinos
Campeonato 1931,Argentinos,2,4,San Lorenzo
Campeonato 1931,Estudiantes (LP),2,0,Quilmes
Campeonato 1931,Tigre,2,0,Lanus
Campeonato 1931,Lanus,0,0,Tigre
Campeonato 1931,Quilmes,2,4,Estudiantes (LP)
Campeonato 1931,Quilmes,6,1,Chacarita
Campeonato 1931,Racing Club,3,2,Ferro
Campeonato 1931,Chacarita,4,1,Quilmes
Campeonato 1931,Lanus,5,2,Boca Juniors
Campeonato 1931,Boca Juniors,2,2,Estudiantes (LP)
Campeonato 1931,Chacarita,5,1,Estudiantes (LP)
Campeonato 1931,Quilmes,1,1,San Lorenzo
Campeonato 1931,Argentinos,2,4,River Plate
Campeonato 1931,Estudiantes (LP),7,0,Chacarita
Campeonato 1931,Huracan,5,1,Independiente
Campeonato 1931,Boca Juniors,6,0,Lanus
Campeonato 1931,Independiente,3,1,Huracan
Campeonato 1931,River Plate,3,0,Tigre
Campeonato 1931,Tigre,2,5,River Plate
Campeonato 1931,Platense,4,1,Independiente
Campeonato 1931,Racing Club,1,1,Estudiantes (LP)
Campeonato 1931,Argentinos,1,1,Atlanta
Campeonato 1931,Estudiantes (LP),6,3,Racing Club
Campeonato 1931,Independiente,2,0,Platense
Campeonato 1931,River Plate,4,3,Argentinos
Campeonato 1931,Talleres (RdE),3,2,Ferro
Campeonato 1931,Estudiantes (LP),6,1,Atlanta
Campeonato 1931,River Plate,2,0,San Lorenzo
Campeonato 1931,Estudiantes (LP),4,1,Boca Juniors
Campeonato 1931,San Lorenzo,0,0,River Plate
Campeonato 1931,Tigre,1,2,Velez
Campeonato 1931,San Lorenzo,0,0,Chacarita
Campeonato 1931,Chacarita,0,1,San Lorenzo
Campeonato 1931,Talleres (RdE),3,0,Independiente
Campeonato 1931,Independiente,1,0,Talleres (RdE)
Campeonato 1931,Ferro,1,1,Independiente
Campeonato 1931,Atlanta,2,1,Estudiantes (LP)
Campeonato 1931,Ferro,2,1,Racing Club
Campeonato 1931,River Plate,4,0,Lanus
Campeonato 1931,Velez,3,2,Tigre
Campeonato 1932,Ferro,3,0,Huracan
Campeonato 1932,Quilmes,0,0,Talleres (RdE)
Campeonato 1932,Independiente,1,1,Estudiantes (LP)
Campeonato 1932,Estudiantes (LP),1,1,Independiente
Campeonato 1932,Racing Club,2,0,Lanus
Campeonato 1932,Talleres (RdE),1,1,Quilmes
Campeonato 1932,Huracan,2,0,Ferro
Campeonato 1932,Lanus,0,0,Independiente
Campeonato 1932,Argentinos,3,4,Independiente
Campeonato 1932,Ferro,1,1,Argentinos
Campeonato 1932,Argentinos,1,2,Boca Juniors
Campeonato 1932,Independiente,1,0,Argentinos
Campeonato 1932,Quilmes,2,0,Lanus
Campeonato 1932,Boca Juniors,2,2,Argentinos
Campeonato 1932,Lanus,1,1,Platense
Campeonato 1932,Platense,3,2,Lanus
Campeonato 1932,San Lorenzo,6,3,Atlanta
Campeonato 1932,Estudiantes (LP),5,3,Chacarita
Campeonato 1932,Chacarita,1,1,Estudiantes (LP)
Campeonato 1932,Platense,2,3,Ferro
Campeonato 1932,Quilmes,5,0,Platense
Campeonato 1932,Boca Juniors,0,2,Estudiantes (LP)
Campeonato 1932,Estudiantes (LP),3,5,Boca Juniors
Campeonato 1932,Atlanta,0,5,San Lorenzo
Campeonato 1932,Atlanta,2,0,Talleres (RdE)
Campeonato 1932,Talleres (RdE),4,1,Atlanta
Campeonato 1932,Ferro,3,4,Platense
Campeonato 1932,Atlanta,2,5,Boca Juniors
Campeonato 1932,Boca Juniors,2,1,Atlanta
Campeonato 1932,River Plate,2,0,Gimnasia (LP)
Campeonato 1932,Atlanta,2,1,Lanus
Campeonato 1932,San Lorenzo,4,4,Gimnasia (LP)
Campeonato 1932,Gimnasia (LP),0,2,San Lorenzo
Campeonato 1932,Chacarita,2,2,Tigre
Campeonato 1932,Lanus,1,1,Atlanta
Campeonato 1932,Estudiantes (LP),4,3,San Lorenzo
Campeonato 1932,San Lorenzo,3,2,Estudiantes (LP)
Campeonato 1932,Tigre,2,3,Chacarita
Campeonato 1932,Argentinos,2,1,Ferro
Campeonato 1932,Lanus,1,1,Racing Club
Campeonato 1932,Lanus,0,3,Quilmes
Campeonato 1932,Huracan,3,2,Argentinos
Campeonato 1932,Chacarita,3,6,Independiente
Campeonato 1932,River Plate,3,0,Tigre
Campeonato 1932,Tigre,1,5,River Plate
Campeonato 1932,Huracan,2,1,Independiente
Campeonato 1932,Independiente,3,2,Huracan
Campeonato 1932,Independiente,2,0,Tigre
Campeonato 1932,Racing Club,0,1,Boca Juniors
Campeonato 1932,Lanus,2,1,Ferro
Campeonato 1932,Ferro,3,1,Lanus
Campeonato 1932,Tigre,2,3,Independiente
Campeonato 1932,Tigre,1,1,Estudiantes (LP)
Campeonato 1932,Estudiantes (LP),4,3,Tigre
Campeonato 1932,Talleres (RdE),1,2,Independiente
Campeonato 1932,Boca Juniors,1,1,Racing Club
Campeonato 1932,Atlanta,0,1,Independiente
Campeonato 1932,Independiente,2,1,Talleres (RdE)
Campeonato 1932,Argentinos,1,1,Talleres (RdE)
Campeonato 1932,Talleres (RdE),1,2,Argentinos
Campeonato 1932,Velez,4,3,Chacarita
Campeonato 1932,Chacarita,4,2,Velez
Campeonato 1932,Estudiantes (LP),3,1,Quilmes
Campeonato 1932,Quilmes,2,1,Estudiantes (LP)
Campeonato 1932,San Lorenzo,2,2,Argentinos
Campeonato 1932,Argentinos,1,5,San Lorenzo
Campeonato 1932,Gimnasia (LP),6,0,Atlanta
Campeonato 1932,Atlanta,1,6,Gimnasia (LP)
Campeonato 1932,Ferro,3,3,Tigre
Campeonato 1932,Independiente,3,0,Atlanta
Campeonato 1932,Independiente,4,0,Quilmes
